,City/Town,Country/Territory,Continent,Notes
48,Brades (de facto),Montserrat,North America,"British Overseas Territory. Plymouth was abandoned after the Soufrière Hills volcano erupted in 1997. Since then, government offices have been moved to Brades, which is in northwestern Montserrat. A new capital, Little Bay, is currently under construction."
49,Plymouth (de jure),Montserrat,North America,"British Overseas Territory. Plymouth was abandoned after the Soufrière Hills volcano erupted in 1997. Since then, government offices have been moved to Brades, which is in northwestern Montserrat. A new capital, Little Bay, is currently under construction."
50,Brasília,Brazil,South America,Rio de Janeiro was the capital until 1960. See also: Capitals of Brazil.
51,Bratislava,Slovakia,Europe,
52,Brazzaville,Congo,Africa,
53,Bridgetown,Barbados,North America,
54,Brussels,Belgium,Europe,Brussels also serves as de facto capital of the European Union.[1]
55,Brussels,European Union (de facto),Europe,Brussels also serves as de facto capital of the European Union.[1]
56,Bucharest,Romania,Europe,
57,Budapest,Hungary,Europe,See also: List of historical capitals of Hungary.
58,Buenos Aires,Argentina,South America,
59,Cairo,Egypt,Africa,A new capital is being built at the New Administrative Capital. It might be named Egypt. See also: List of historical capitals of Egypt.
60,Canberra,Australia,Oceania,"Planned city built to mitigate the rivalry between Melbourne (de facto capital at the time) and Sydney (economic capital and most populous city), both of which were put forward as potential capitals in the Australasia Federation Conventions of the 1890s. Section 125 of the Constitution gives basic details about the location of the capital, size of the encompassing territory and so forth, while the Seat of Government Act 1908 specified its precise location."
61,Caracas,Venezuela,South America,
62,Castries,Saint Lucia,North America,
63,Charlotte Amalie,United States Virgin Islands,North America,Territory of the United States.
64,Chișinău,Moldova,Europe,
65,Cockburn Town,Turks and Caicos Islands,North America,British Overseas Territory.
66,"Colombo (executive, judicial)",Sri Lanka,Asia,"Until 1982, the capital was Colombo, where many governmental institutions remain; it is still designated as the commercial capital of Sri Lanka. See also: Capital of Sri Lanka."
67,Sri Jayawardenepura Kotte (official),Sri Lanka,Asia,"Also known as Kotte, the city is a suburb of Colombo."
68,Conakry,Guinea,Africa,
69,Copenhagen,Denmark,Europe,
70,Cotonou (de facto),Benin,Africa,
71,Porto-Novo (official),Benin,Africa,
72,Dakar,Senegal,Africa,
73,Damascus,Syria,Asia,
74,Dhaka,Bangladesh,Asia,
75,Dili,East Timor,Asia,
76,Djibouti,Djibouti,Africa,
77,Dodoma,Tanzania,Africa,"Dar es Salaam, the former capital and largest city, still hosts some government ministries, the judiciary, and diplomatic missions."
78,Doha,Qatar,Asia,
79,Douglas,Isle of Man,Europe,British Crown Dependency.
80,Dublin,Ireland,Europe,
81,Dushanbe,Tajikistan,Asia,
82,Edinburgh of the Seven Seas,Tristan da Cunha,,"Part of the British Overseas Territory of Saint Helena, Ascension and Tristan da Cunha."
83,Flying Fish Cove,Christmas Island,,External territory of Australia.
84,Freetown,Sierra Leone,Africa,
85,Funafuti,Tuvalu,Oceania,
86,Gaborone,Botswana,Africa,
87,George Town,Cayman Islands,North America,British Overseas Territory.
88,Georgetown,Ascension Island,,"Part of the British Overseas Territory of Saint Helena, Ascension and Tristan da Cunha."
89,Georgetown,Guyana,South America,
90,Gibraltar,Gibraltar,Europe,British Overseas Territory and city-state.
91,Gitega (de jure),Burundi,Africa,Bujumbura was the capital from 1962 to 2018.
92,Bujumbura (de facto),Burundi,Africa,Bujumbura was the capital from 1962 to 2018.
93,Guatemala City,Guatemala,North America,
94,Gustavia,Saint Barthélemy,North America,Overseas collectivity of France.
95,Hagåtña,Guam,Oceania,Territory of the United States.
96,Hamilton,Bermuda,North America,British Overseas Territory.
97,Hanoi,Vietnam,Asia,See also: List of historical capitals of Vietnam.
98,Harare,Zimbabwe,Africa,
99,Hargeisa,Somaliland,Africa,"De facto independent state, deemed by the UN to be de jure part of Somalia."
100,Havana,Cuba,North America,
101,Helsinki,Finland,Europe,
102,Honiara,Solomon Islands,Oceania,Honiara is a settlement on the island of Guadalcanal.
103,Islamabad,Pakistan,Asia,"Karachi served as the first capital of Pakistan from 1948. A planned capital, Islamabad, was then designated, and in 1958, as an interim measure, the capital was shifted to Rawalpindi, near to the future capital. Islamabad became capital in 1967 when its construction was completed."
104,Jakarta (de facto),Indonesia,Asia,The capital will soon be moved to Nusantara on Borneo. See also: Capital of Indonesia.
105,Nusantara,Indonesia,Asia,
106,Jamestown,Saint Helena,,"Part of the British Overseas Territory of Saint Helena, Ascension and Tristan da Cunha."
107,Jerusalem,Israel,Asia,"The Jerusalem Law states that ""Jerusalem, complete and united, is the capital of Israel"" and the city serves as the seat of the Israeli government and its institutions. United Nations Security Council Resolution 478 declared the Jerusalem Law ""null and void"" and called on member states to withdraw their diplomatic missions from Jerusalem. Nearly all countries currently have their embassies in and around Tel Aviv. Defying the UN,[2] the United States recognized Jerusalem as the capital and moved its embassy there in May 2018.[3] Many countries officially adhere to the proposal that Jerusalem should have international status, as called for in the 1947 Partition Plan.[4]"
108,Jerusalem,Palestine,Asia,"The Jerusalem Law states that ""Jerusalem, complete and united, is the capital of Israel"" and the city serves as the seat of the Israeli government and its institutions. United Nations Security Council Resolution 478 declared the Jerusalem Law ""null and void"" and called on member states to withdraw their diplomatic missions from Jerusalem. Nearly all countries currently have their embassies in and around Tel Aviv. Defying the UN,[2] the United States recognized Jerusalem as the capital and moved its embassy there in May 2018.[3] Many countries officially adhere to the proposal that Jerusalem should have international status, as called for in the 1947 Partition Plan.[4]"
109,Ramallah (de facto),Palestine,Asia,"The Jerusalem Law states that ""Jerusalem, complete and united, is the capital of Israel"" and the city serves as the seat of the Israeli government and its institutions. United Nations Security Council Resolution 478 declared the Jerusalem Law ""null and void"" and called on member states to withdraw their diplomatic missions from Jerusalem. Nearly all countries currently have their embassies in and around Tel Aviv. Defying the UN,[2] the United States recognized Jerusalem as the capital and moved its embassy there in May 2018.[3] Many countries officially adhere to the proposal that Jerusalem should have international status, as called for in the 1947 Partition Plan.[4]"
110,Juba,South Sudan,Africa,
111,Kabul,Afghanistan,Asia,
112,Kampala,Uganda,Africa,
113,Kathmandu,Nepal,Asia,
114,Khartoum,Sudan,Africa,
115,Kigali,Rwanda,Africa,
116,King Edward Point,South Georgia and the South Sandwich Islands,,British Overseas Territory.
117,Kingston,Jamaica,North America,
118,Kingston,Norfolk Island,Oceania,External territory of Australia.
119,Kingstown,Saint Vincent and the Grenadines,North America,
120,Kinshasa,Democratic Republic of the Congo,Africa,
121,"Kuala Lumpur (de jure, legislative and royal)",Malaysia,Asia,
122,Putrajaya (administrative and judicial),Malaysia,Asia,
123,Kuwait City,Kuwait,Asia,
124,Kyiv,Ukraine,Europe,
125,La Paz (administrative),Bolivia,South America,"La Paz is the highest administrative capital (3,650 m) in the world, higher than Quito.[5]"
126,Sucre (constitutional),Bolivia,South America,
127,Laayoune (declared),Western Sahara,Africa,"De facto independent state contested by both the Sahrawi Arab Democratic Republic (SADR), and Morocco. Laayoune is within Moroccan-controlled territory while Tifariti is within Sahrawi-controlled territory and serves as the temporary capital (previously Bir Lehlou). Some government and military buildings reside in exile in Tindouf, Algeria.[6] See also: Politics of the Sahrawi Arab Democratic Republic."
128,Tifariti (de facto),Western Sahara,Africa,"De facto independent state contested by both the Sahrawi Arab Democratic Republic (SADR), and Morocco. Laayoune is within Moroccan-controlled territory while Tifariti is within Sahrawi-controlled territory and serves as the temporary capital (previously Bir Lehlou). Some government and military buildings reside in exile in Tindouf, Algeria.[6] See also: Politics of the Sahrawi Arab Democratic Republic."
129,Libreville,Gabon,Africa,
130,Lilongwe,Malawi,Africa,
131,Lima,Peru,South America,"Cusco is declared the ""historical capital"" (Spanish: capital histórica), by Article 49 of the Peruvian Constitution, a merely symbolic statement. Arequipa is deemed the ""legal capital"" as it is the seat of the Constitutional Court."
132,Lisbon,Portugal,Europe,
133,Ljubljana,Slovenia,Europe,
134,Lobamba (royal and legislative),Eswatini,Africa,
135,Mbabane (administrative),Eswatini,Africa,
136,Lomé,Togo,Africa,
137,London,United Kingdom,Europe,"Prior to the Acts of Union in 1707, London was the capital of England only; Edinburgh was the capital of the Kingdom of Scotland. The United Kingdom includes the subdivisions of England (capital London), Scotland (capital Edinburgh), Wales (capital Cardiff), Northern Ireland (capital Belfast)."
138,London (administration),British Indian Ocean Territory,Asia,"British Overseas Territory. Officially, the British Indian Ocean Territory is administered from London,[7] though some consider the capital to be Diego Garcia.[8]"
139,Diego Garcia (de facto),British Indian Ocean Territory,Asia,"British Overseas Territory. Officially, the British Indian Ocean Territory is administered from London,[7] though some consider the capital to be Diego Garcia.[8]"
140,Luanda,Angola,Africa,
141,Lusaka,Zambia,Africa,
142,Luxembourg,Luxembourg,Europe,
143,Madrid,Spain,Europe,
144,Majuro,Marshall Islands,Oceania,"Self-governing in free association with the United States. The seat of government is at Delap-Uliga-Djarrit, a settlement on the atoll of Majuro."
145,Malabo,Equatorial Guinea,Africa,Ciudad de la Paz is currently under construction and will become the new capital when complete.[9]
146,Malé,Maldives,Asia,
147,Managua,Nicaragua,North America,
148,Manama,Bahrain,Asia,
149,Manila,Philippines,Asia,
150,Maputo,Mozambique,Africa,
151,Mariehamn,Åland Islands,Europe,Autonomous region of Finland.
152,Marigot,Saint Martin,North America,Overseas collectivity of France.
153,Maseru,Lesotho,Africa,
154,Mata Utu,Wallis and Futuna,Oceania,Overseas collectivity of France.
155,Mexico City,Mexico,North America,
156,Minsk,Belarus,Europe,
157,Mogadishu,Somalia,Africa,
158,Monaco,Monaco,Europe,"City-state. Monaco does not have a capital designated in its constitution; however, the Commune of Monaco, the country's only commune, is coterminous with the nation, making it the de facto capital.[10][11]"
159,Monrovia,Liberia,Africa,
160,Montevideo,Uruguay,South America,
161,Moroni,Comoros,Africa,
162,Moscow,Russia,Europe,
163,Muscat,Oman,Asia,
164,Nairobi,Kenya,Africa,
165,Nassau,"Bahamas, The",North America,
166,Naypyidaw,Myanmar,Asia,Yangon was the capital until 2006.[12] See also: List of capitals of Myanmar.
167,N'Djamena,Chad,Africa,
168,New Delhi,India,Asia,Calcutta was the capital of India until 1911 during the British Raj.
169,Ngerulmud,Palau,Oceania,Self-governing in free association with the United States. Koror City was the capital until 2006.
170,Niamey,Niger,Africa,
171,Nicosia,Cyprus,Asia,"Nicosia is a divided capital, split between Cyprus, which claims the whole city, and the internationally unrecognized breakaway state of Northern Cyprus."
172,Nicosia,Northern Cyprus,Asia,"Nicosia is a divided capital, split between Cyprus, which claims the whole city, and the internationally unrecognized breakaway state of Northern Cyprus."
173,Nouakchott,Mauritania,Africa,
174,Nouméa,New Caledonia,Oceania,Overseas territory of France.
175,Nukuʻalofa,Tonga,Oceania,
176,Nuuk,Greenland,North America,Self-governing country within the Kingdom of Denmark.
177,Oranjestad,Aruba,South America,Self-governing country within the Kingdom of the Netherlands.
178,Oslo,Norway,Europe,See also: List of historical capitals of Norway.
179,Ottawa,Canada,North America,
180,Ouagadougou,Burkina Faso,Africa,
181,Pago Pago,American Samoa,Oceania,Territory of the United States.
182,Palikir,Micronesia,Oceania,"Self-governing in free association with the United States. Kolonia is the former capital and Australia, China, Japan and the United States retain embassies there."
183,Panama City,Panama,North America,
184,Papeete,French Polynesia,Oceania,Overseas collectivity of France.
185,Paramaribo,Suriname,South America,
186,Paris,France,Europe,See also: List of Capitals of France.
187,Philipsburg,Sint Maarten,North America,Self-governing country within the Kingdom of the Netherlands.
188,Phnom Penh,Cambodia,Asia,
189,Podgorica,Montenegro,Europe,"Cetinje has been designated the ""Old Royal Capital"" and is the present seat of the President."
190,Port Louis,Mauritius,Africa,
191,Port Moresby,Papua New Guinea,Oceania,
192,Port of Spain,Trinidad and Tobago,South America,
193,Port Vila,Vanuatu,Oceania,
194,Port-au-Prince,Haiti,North America,
195,Prague,Czech Republic,Europe,The Supreme Court of the Czech Republic is located in Brno.[13]
196,Praia,Cape Verde,Africa,
197,Pristina,Kosovo,Europe,"De facto independent state claimed entirely by Serbia as part of its Autonomous Province of Kosovo and Metohija. Kosovo has de facto control over most of the territory, with limited control in North Kosovo."
198,Pyongyang,North Korea,Asia,
199,Quito,Ecuador,South America,"Highest official capital (2,850 m).[5]"
200,Rabat,Morocco,Africa,
201,Reykjavík,Iceland,Europe,
202,Riga,Latvia,Europe,
203,Riyadh,Saudi Arabia,Asia,
204,Road Town,British Virgin Islands,North America,British Overseas Territory.
205,Rome,Italy,Europe,
206,Roseau,Dominica,North America,
207,Rothera,British Antarctic Territory,Antarctica,British Overseas Territory
208,Saipan,Northern Mariana Islands,Oceania,"Territory of the United States. The seat of government is at Capitol Hill, a settlement on the island of Saipan."
209,San José,Costa Rica,North America,
210,San Juan,Puerto Rico,North America,Territory of the United States.
211,San Marino,San Marino,Europe,
212,San Salvador,El Salvador,North America,
213,Santiago,Chile,South America,The National Congress of Chile is located in Valparaíso.
214,Santo Domingo,Dominican Republic,North America,
215,São Tomé,São Tomé and Príncipe,Africa,
216,Sarajevo,Bosnia and Herzegovina,Europe,
217,Seoul,South Korea,Asia,"On 2 July 2012, some government functions moved to Sejong City, which became the de facto administrative capital."
218,Singapore,Singapore,Asia,City-state.
219,Skopje,North Macedonia,Europe,
220,Sofia,Bulgaria,Europe,
221,South Tarawa,Kiribati,Oceania,South Tarawa is a settlement on the atoll of Tarawa.
222,St. George's,Grenada,North America,
223,St. Helier,Jersey,Europe,British Crown Dependency.
224,St. John's,Antigua and Barbuda,North America,
225,St. Peter Port,Guernsey,Europe,British Crown Dependency.
226,St. Pierre,Saint Pierre and Miquelon,North America,Overseas collectivity of France.
227,Stanley,Falkland Islands,South America,British Overseas Territory.
228,Stepanakert,Artsakh,Asia/Europe,A former partially recognized state backed by Armenia and claimed entirely by Azerbaijan after the fall of Soviet Union. Legally reabsorbed by Azerbaijan on 1 January 2024.
229,Stockholm,Sweden,Europe,
230,Sukhumi,Abkhazia,Asia/Europe,De facto independent state with partial recognition claimed in whole by Georgia as the Autonomous Republic of Abkhazia.
231,Suva,Fiji,Oceania,
232,Taipei,Taiwan,Asia,"De facto independent state, officially called the Republic of China, it competition with the People's Republic of China for recognition as the sole Chinese government since 1949. Taiwan controls the island of Taiwan and the associated islands Quemoy, Matsu, the Pratas, and part of the Spratly Islands.[Note 1] Its territory is claimed in whole by the People's Republic of China.[Note 2] The Republic of China participates in a number of international organizations under a variety of pseudonyms, most commonly Chinese Taipei."
233,Tallinn,Estonia,Europe,
234,Tashkent,Uzbekistan,Asia,
235,Tbilisi,Georgia,Asia/Europe,"From 2012 to 2018, Kutaisi served as Georgia's legislative capital. Additionally, Mtskheta is sometimes called an ""ancient capital"" of Georgia.[14][15]"
236,Tegucigalpa,Honduras,North America,Comayagüela is declared in the Honduran Constitution as co-official capital with Tegucigalpa.[16] The cities have since merged into a single urban area.
237,Comayagüela,Honduras,North America,Comayagüela is declared in the Honduran Constitution as co-official capital with Tegucigalpa.[16] The cities have since merged into a single urban area.
238,Tehran,Iran,Asia,
239,Thimphu,Bhutan,Asia,
240,Tirana,Albania,Europe,
241,Tiraspol,Transnistria,Europe,"De facto independent state, recognized by only non UN members. Claimed in whole by Moldova as the autonomous territorial unit of Administrative-Territorial Units of the Left Bank of the Dniester"
242,Tokyo,Japan,Asia,See also: Capital of Japan.
243,Tórshavn,Faroe Islands,Europe,Self-governing country within the Kingdom of Denmark.
244,Tripoli,Libya,Africa,
245,Tskhinvali,South Ossetia,Asia/Europe,De facto independent state with limited recognition. Claimed in whole by Georgia as the Provisional Administration of South Ossetia.
246,Tunis,Tunisia,Africa,
247,Ulaanbaatar,Mongolia,Asia,
248,Vaduz,Liechtenstein,Europe,
249,Valletta,Malta,Europe,
250,The Valley,Anguilla,North America,British Overseas Territory.
251,Vatican City,Vatican City,Europe,City-state.
252,Victoria,Seychelles,Africa,
253,Vienna,Austria,Europe,
254,Vientiane,Laos,Asia,
255,Vilnius,Lithuania,Europe,
256,Warsaw,Poland,Europe,Former capitals listed in Template:Historical capitals of Poland.
257,"Washington, D.C.",United States,North America,The capital of the United States has moved several times. See also: National capitals of the United States.
258,Wellington,New Zealand,Oceania,Since 1865. Wellington is New Zealand's third capital. See also: Capital of New Zealand.
259,West Island,Cocos (Keeling) Islands,,External territory of Australia.
260,Willemstad,Curaçao,,Self-governing country within the Kingdom of the Netherlands.
261,Windhoek,Namibia,Africa,
262,Yaoundé,Cameroon,Africa,
263,Yaren (de facto),Nauru,Oceania,"Nauru has no official capital, nor cities; the government offices are in Yaren district."
264,Yerevan,Armenia,Asia/Europe,
265,Zagreb,Croatia,Europe,
